2 12.417 -38.2899 4.7952 -40.3016 2.93215 12.8052 -37.4681 12.5546 -37.7405 4.81749 -35.2197 2.24106 
2.05 12.7021 -40.7291 4.69146 -41.1399 2.93215 13.1773 -40.2797 12.763 -40.1842 4.71035 -36.9041 2.35065 
2.1 12.9349 -42.7996 4.6052 -41.8111 2.93215 13.6976 -42.6102 13.0349 -42.2373 4.64158 -37.7696 2.38824 
2.15 13.1635 -44.9032 4.51923 -42.458 2.93215 13.8165 -44.1001 13.2585 -44.3076 4.54482 -38.5769 2.41945 
2.2 13.3877 -47.0387 4.43362 -43.0809 2.93215 13.9402 -46.9428 13.3484 -46.7034 4.40754 -39.9379 2.53077 
2.25 13.6077 -49.2048 4.34847 -43.6806 2.93215 14.1274 -48.5933 13.6102 -48.8451 4.34748 -40.6568 2.55059 
2.3 13.8234 -51.4005 4.26386 -44.2576 2.93215 14.5522 -51.0321 13.8597 -50.9483 4.28393 -41.2857 2.56373 
2.35 14.0349 -53.6245 4.17985 -44.8124 2.93215 14.5807 -53.2483 14.0472 -53.2677 4.18829 -42.1678 2.60903 
2.4 14.2422 -55.8759 4.09651 -45.3456 2.93215 14.8399 -55.8342 14.3159 -55.8319 4.12317 -43.3634 2.68664 
2.45 14.4454 -58.1535 4.01391 -45.8579 2.93215 14.6948 -57.9192 14.4769 -58.0441 4.03762 -43.9211 2.69901 
2.5 14.6445 -60.4563 3.93211 -46.3498 2.93215 15.0209 -60.098 14.6714 -60.3485 3.95059 -44.5788 2.72421 
2.55 14.8395 -62.7833 3.85116 -46.8219 2.93215 15.4651 -62.7512 14.9172 -62.9266 3.89762 -45.5543 2.7894 
2.6 15.0304 -65.1336 3.77111 -47.2748 2.93215 15.1991 -64.9025 15.0842 -65.3021 3.80623 -46.1328 2.80758 
2.65 15.2174 -67.5061 3.692 -47.7092 2.93215 15.3926 -67.2254 15.2399 -67.6759 3.7172 -46.7384 2.83675 
2.7 15.4004 -69.8999 3.61388 -48.1256 2.93215 15.7259 -69.6386 15.3997 -69.9758 3.62807 -47.0689 2.82319 
2.75 15.5796 -72.3143 3.53677 -48.5246 2.93215 15.9227 -71.3262 15.5191 -72.1972 3.52913 -47.2992 2.80739 
2.8 15.7549 -74.7482 3.46071 -48.9069 2.93215 15.803 -74.7169 15.6503 -74.8166 3.44307 -48.0724 2.85221 
2.85 15.9264 -77.2009 3.38573 -49.2729 2.93215 16.39 -76.6601 15.8197 -77.1902 3.36963 -48.4036 2.84798 
2.9 16.0942 -79.6716 3.31184 -49.6233 2.93215 16.4219 -79.1083 15.9981 -79.6555 3.29915 -48.8276 2.85682 
2.95 16.2583 -82.1596 3.23909 -49.9586 2.93215 17.0489 -81.3099 16.2167 -81.8754 3.25318 -48.8336 2.81662 
